ds,y,hour,is_weekend,node,signal
2025-11-12 14:20:00,20732.868333333332,14,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 14:30:00,16950.885416666664,14,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 14:40:00,16910.43,14,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 14:50:00,17929.341666666667,14,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 15:00:00,18064.17166666667,15,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 15:10:00,16801.57083333333,15,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 15:20:00,17019.695,15,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 15:30:00,18707.902083333334,15,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 15:40:00,19088.919166666667,15,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 15:50:00,19832.3225,15,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 16:00:00,17083.29625,16,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 16:10:00,17025.660416666666,16,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 16:20:00,21627.096666666665,16,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 16:30:00,19149.987083333333,16,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 16:40:00,17182.11708333333,16,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 16:50:00,19440.220833333333,16,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 17:00:00,18535.63333333333,17,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 17:10:00,19680.9275,17,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 17:20:00,20588.447083333333,17,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 17:30:00,19644.661666666667,17,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 17:40:00,21395.310833333333,17,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 17:50:00,17458.03125,17,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 18:00:00,20742.45666666667,18,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 18:10:00,20074.01875,18,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 18:20:00,19522.077083333337,18,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 18:30:00,19632.785416666666,18,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 18:40:00,17416.98,18,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 18:50:00,16983.064583333333,18,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 19:00:00,17050.339583333334,19,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 19:10:00,17189.627916666665,19,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 19:20:00,17759.4525,19,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 19:30:00,17224.24625,19,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 19:40:00,21926.698333333337,19,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 19:50:00,17012.614166666666,19,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 20:00:00,17383.82833333333,20,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 20:10:00,19227.992083333334,20,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 20:20:00,16503.49916666667,20,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 20:30:00,19006.747916666667,20,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 20:40:00,17215.44208333333,20,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 20:50:00,19259.02541666667,20,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 21:00:00,20233.493333333332,21,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 21:10:00,17093.430833333332,21,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 21:20:00,18734.950833333332,21,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 21:30:00,21854.009583333333,21,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 21:40:00,18556.29125,21,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 21:50:00,16660.2325,21,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 22:00:00,18473.55791666667,22,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 22:10:00,17055.30875,22,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 22:20:00,17106.228750000002,22,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 22:30:00,17167.009583333333,22,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 22:40:00,17253.65625,22,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 22:50:00,16416.025416666667,22,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 23:00:00,18993.58875,23,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 23:10:00,16122.68125,23,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 23:20:00,17778.07375,23,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 23:30:00,17433.443333333333,23,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 23:40:00,15937.84,23,0,pi (192.168.10.200),NET_TX_BW
2025-11-12 23:50:00,18427.266666666663,23,0,pi (192.168.10.200),NET_TX_BW
2025-11-13 00:00:00,16156.374583333334,0,0,pi (192.168.10.200),NET_TX_BW
