ds,y,hour,is_weekend,instances_count,instances
2025-11-11 14:27:00,0.32367367851489864,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:28:00,0.32270492586822735,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:29:00,0.3221075870600168,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:30:00,0.322858588906698,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:31:00,0.3233640818352464,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:32:00,0.32262409241171386,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:33:00,0.32331191473795995,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:34:00,0.3226751242076448,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:35:00,0.3234920302980144,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:36:00,0.32350491596839953,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:37:00,0.32368690477569056,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:38:00,0.32304642451596993,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:39:00,0.3251832887273431,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:40:00,0.3217336187935062,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:41:00,0.3241096342354211,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:42:00,0.3235603754396171,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:43:00,0.3234647263004139,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:44:00,0.3222223660270606,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:45:00,0.3240147798071668,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:46:00,0.32343878466444015,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:47:00,0.32509371345039195,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:48:00,0.32357320434493453,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:49:00,0.32364035742011393,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:50:00,0.3243851718744075,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:51:00,0.32252009880754756,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:52:00,0.32275442500732837,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:53:00,0.32247201879514104,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:54:00,0.3226537805421609,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:55:00,0.32185293896597206,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:56:00,0.32247213232527655,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:57:00,0.323745429560568,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:58:00,0.3228118144908503,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 14:59:00,0.3218950018811943,14,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:00:00,0.32217474013519626,15,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:01:00,0.3219068657803596,15,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:02:00,0.3237811347881993,15,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:03:00,0.3224582248836713,15,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:04:00,0.32260700612631316,15,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:05:00,0.32374406719894133,15,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:06:00,0.32350281566089184,15,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:07:00,0.3235929585885207,15,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:08:00,0.3209389078446372,15,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:09:00,0.3208505246341094,15,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:10:00,0.32064441067301347,15,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:11:00,0.322569995302123,15,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:12:00,0.32226686984019726,15,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:13:00,0.3211169230971838,15,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:14:00,0.3216051594451283,15,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:15:00,0.3211964509571385,15,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:16:00,0.3216011291253162,15,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:17:00,0.32494277513517467,15,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:18:00,0.3213818456684961,15,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:19:00,0.3217353217455395,15,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:20:00,0.3221885908117337,15,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:21:00,0.3220536034805615,15,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:22:00,0.3226700721166127,15,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:23:00,0.32236195132872264,15,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:24:00,0.32229360618711994,15,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:25:00,0.322592076913488,15,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:26:00,0.32324396695183166,15,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:27:00,0.3238559511475285,15,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:28:00,0.3224547054494692,15,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:29:00,0.3241539677533544,15,0,6,"host01, host02, host03, master01, master02, rpi01"
2025-11-11 15:30:00,0.3229391953029404,15,0,6,"host01, host02, host03, master01, master02, rpi01"
