ds,y,hour,is_weekend,node,signal
2025-11-12 14:20:00,23308.833333333336,14,0,worker03 (192.168.10.83),NET_TX_BW
2025-11-12 14:30:00,26766.047424242424,14,0,worker03 (192.168.10.83),NET_TX_BW
2025-11-12 14:40:00,25941.32439393939,14,0,worker03 (192.168.10.83),NET_TX_BW
2025-11-12 14:50:00,26764.371818181815,14,0,worker03 (192.168.10.83),NET_TX_BW
2025-11-12 15:00:00,27790.875909090904,15,0,worker03 (192.168.10.83),NET_TX_BW
2025-11-12 15:10:00,26287.34424242424,15,0,worker03 (192.168.10.83),NET_TX_BW
2025-11-12 15:20:00,24714.48303030303,15,0,worker03 (192.168.10.83),NET_TX_BW
2025-11-12 15:30:00,26627.567575757577,15,0,worker03 (192.168.10.83),NET_TX_BW
2025-11-12 15:40:00,25484.064696969697,15,0,worker03 (192.168.10.83),NET_TX_BW
2025-11-12 15:50:00,25638.68303030303,15,0,worker03 (192.168.10.83),NET_TX_BW
2025-11-12 16:00:00,25005.81333333333,16,0,worker03 (192.168.10.83),NET_TX_BW
2025-11-12 16:10:00,25107.429848484848,16,0,worker03 (192.168.10.83),NET_TX_BW
2025-11-12 16:20:00,25962.82393939394,16,0,worker03 (192.168.10.83),NET_TX_BW
2025-11-12 16:30:00,40121.12393939393,16,0,worker03 (192.168.10.83),NET_TX_BW
2025-11-12 16:40:00,26611.82393939394,16,0,worker03 (192.168.10.83),NET_TX_BW
2025-11-12 16:50:00,26696.898939393937,16,0,worker03 (192.168.10.83),NET_TX_BW
2025-11-12 17:00:00,23956.46803030303,17,0,worker03 (192.168.10.83),NET_TX_BW
2025-11-12 17:10:00,27141.27712121212,17,0,worker03 (192.168.10.83),NET_TX_BW
2025-11-12 17:20:00,28457.369696969698,17,0,worker03 (192.168.10.83),NET_TX_BW
2025-11-12 17:30:00,29430.604696969694,17,0,worker03 (192.168.10.83),NET_TX_BW
2025-11-12 17:40:00,28644.67060606061,17,0,worker03 (192.168.10.83),NET_TX_BW
2025-11-12 17:50:00,27091.692878787875,17,0,worker03 (192.168.10.83),NET_TX_BW
2025-11-12 18:00:00,26973.655606060605,18,0,worker03 (192.168.10.83),NET_TX_BW
2025-11-12 18:10:00,26262.185757575757,18,0,worker03 (192.168.10.83),NET_TX_BW
2025-11-12 18:20:00,24051.548787878783,18,0,worker03 (192.168.10.83),NET_TX_BW
2025-11-12 18:30:00,24363.745909090907,18,0,worker03 (192.168.10.83),NET_TX_BW
2025-11-12 18:40:00,25683.856666666667,18,0,worker03 (192.168.10.83),NET_TX_BW
2025-11-12 18:50:00,25739.554848484848,18,0,worker03 (192.168.10.83),NET_TX_BW
2025-11-12 19:00:00,26378.409393939397,19,0,worker03 (192.168.10.83),NET_TX_BW
2025-11-12 19:10:00,29456.275,19,0,worker03 (192.168.10.83),NET_TX_BW
